"","x"
"462","Arl1"
"463","Zfp330"
"464","Lin7c"
"465","Gtf2ird2"
"466","HC"
"467","Lrch1"
"468","Igfals"
"469","Lrpap1"
"470","Crybb3"
"471","Blvrb"
"472","Per3"
"473","Cd22"
"474","Fam192a"
"475","Nrcam"
"476","Lrrc27"
"477","Fbxo28"
"478","Hoxb8"
"479","1110051M20Rik"
"480","Il6st"
"481","Nfyb"
"482","Ezh2"
"483","Olfr1337"
"484","Abi1"
"485","Tmem209"
"486","Tmem50b"
"487","Rnf165"
"488","Ramp1"
"489","Secisbp2l"
"490","Casp4"
"491","Ermp1"
"492","Fes"
"493","Irx2"
"494","Plekha5"
"495","Pmfbp1"
"496","Nfib"
"497","Tbc1d17"
"498","Gm10536"
"499","Ifit3b"
"500","I830012O16Rik"
"501","Cul3"
"502","Tec"
"503","Emsy"
"504","Mybph"
"505","Dcstamp"
"506","Vmn2r121"
"507","Gucd1"
"508","1110038D17Rik"
"509","tlm"
"510","MFG-E8"
"511","Nars"
"512","Gm10447"
"513","Paip1"
"514","Xrcc4"
"515","Rtp2"
"516","Cacng5"
"517","Vmn2r17"
"518","Acadm"
"519","Nop56"
"520","Obsl1"
"521","Plekha1"
"522","H2-K1"
"523","Rtf2"
"524","2410001C21Rik"
"525","Rtfdc1"
"526","Eml1"
"527","Ildr2"
"528","D1Ertd471e"
"529","Ll"
"530","Gpr180"
"531","Drg1"
"532","Zfp523"
"533","Dhx40"
"534","Sft2d2"
"535","Olfr59"
"536","Dnajc2"
"537","Naa16"
"538","Timm13"
"539","Gm3252"
"540","Sec24c"
"541","Gm10405"
"542","March2"
"543","Lrp10"
"544","Slk"
"545","Pcdh19"
"546","Nrg2"
"547","Qk"
"548","QKII"
"549","Psg21"
"550","Coq10a"
"551","Gm1"
"552","Fzr1"
"553","Sowaha"
"554","Ankrd43"
"555","Limch1"
"556","C130021I20Rik"
"557","Rnf170"
"558","Kcnip4"
"559","Myo10"
"560","Fas"
"561","Fam187b"
"562","Tmem162"
"563","Hmgl6"
"564","Eefsec"
"565","Ercc6l2"
"566","0610007P08Rik"
"567","Ptprs"
"568","PTP"
"569","Pdpk1"
"570","Afdn"
"571","Mllt4"
"572","Etv3"
"573","AW822073"
"574","Dux"
"575","Rpl28"
"576","Rbm33"
"577","Tinf2"
"578","Mtss2"
"579","Mtss1l"
"580","Tdrd12"
"581","Sycp2"
"582","Habp4"
"583","A230060F14Rik"
"584","4732471J01Rik"
"585","Lipe"
"586","H2-K1"
"587","Ttc3"
"588","Vezf1"
"589","Abcd4"
"590","Mfsd4a"
"591","Mfsd4"
"592","Rras"
"593","Sh3gl3"
"594","Ighd"
"595","Pgbd1"
"596","Sgsh"
"597","Rpn1"
"598","H2-K1"
"599","Efna1"
"600","Slc13a5"
"601","Cdk19"
"602","Spata31d1a"
"603","Serpinb9f"
"604","Calhm2"
"605","Scn3b"
"606","Gfra1"
"607","Wnk1"
"608","Prkwnk1"
"609","Olfr367"
"610","Dnajc7"
"611","Mmp9"
"612","Akr1a1"
"613","Slc6a20b"
"614","Lig1"
"615","Rdh16f2"
"616","BC089597"
"617","Adgra1"
"618","Gpr123"
"619","Ggps1"
"620","Lingo2"
"621","Phldb1"
"622","Fam187b"
"623","Pde6b"
"624","Smgc"
"625","Sfc21"
"626","Mpp5"
"627","OTTMUSPWKG00059403"
"628","Ssxb10"
"629","Bet1l"
"630","Shisal1"
"631","1810041L15Rik"
"632","Celsr1"
"633","Cdh17"
"634","4430402I18Rik"
"635","Hectd1"
"636","Xkr6"
"637","Pkn3"
"638","Msn"
"639","Cables1"
"640","Zfp715"
"641","Rhot1"
"642","Arht1"
"643","Tacc2"
"644","Lrrc14"
"645","Olfr1366"
"646","Vps4b"
"647","Vps13c"
"648","Vps13c"
"649","3"
"650","variant"
"651","I	
A0A1B0GQX9	A0A1B0GQX9_MOUSE	Hmgb2	ENSMUST00000210871;	Hmgb2	
Q3TZS0	Q3TZS0_MOUSE	Gata3		Gata3	
A2AQ47	A2AQ47_MOUSE	Fnbp1	ENSMUST00000136181;	Fnbp1	
A2ANB6	A2ANB6_MOUSE	Ninl	ENSMUST00000124135;	Ninl	
F7DCH5	F7DCH5_MOUSE	Clasp2	ENSMUST00000163895;	Clasp2	
Q9CVJ2	Q9CVJ2_MOUSE	1810058N15Rik		1810058N15Rik	
Q80TL2	Q80TL2_MOUSE	Tcf25		Tcf25"
"652","D8Ertd325e"
